,Data
10,"Jewel Bearings - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Jewel Bearings Jewel Bearings Jewel bearings are used in a variety of applications where durability, wear-resistance, low friction and/or extreme environment conditions are performance factors. Tight tolerances and highly polished finishes are among the greatest attributes of jewel bearings. Typical applications for jewel bearings include precision instrumentation devices; such as measuring instruments, dial indicators, watches, altimeters, gyros, gauges, compasses, fluid or gas flow devices, gimbals, meters, and many other bearing applications. Custom dimensions and tolerances available upon request. Endstone Cap Jewel Vee Jewel Cup Jewel Bar Hole Ringstone Bar Hole Ringstone Bombe Bar Hole Single Cup Bar Hole Double Cup Olive Hole Ringstone Olive Hole Ringstone Bombe Olive Hole Single Cup Olive Hole Single Cup Bombe Olive Hole Double Cup MS Jewel Bearings Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
11,"Pins/Rods - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Pins/Rods Pins/Rods Made from high-quality synthetic ruby, sapphire or ceramic Synthetic ruby and sapphire is wear-resistant, temperature-resistant, chemically inert and incredibly durable Typical applications for pins and rods include insulators, medical and diagnostic devices, pumps and lift pins Custom dimensions and tolerances and surface finishes available upon request Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
12,"Balls - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Balls Balls Made from high-quality synthetic ruby, sapphire, zirconia ceramic, silicon nitride or glass Available in Grades 5, 10, 15 and 25 per A.F.B.M.A. standards Half balls lenses also available in synthetic ruby and sapphire Typical applications are fiber optic lenses, measuring stylus, flow meters, check valves, pumps and gauges Custom features such as flats, blind holes or through holes also available upon request Custom dimensions, tolerances and surface finishes available upon request Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
13,"Blades - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Blades Blades Made from high-quality synthetic ruby or sapphire Synthetic ruby and sapphire is wear-resistant, temperature-resistant, chemically inert and incredibly durable Typical applications for blades include optical fiber cutting devices and surgical knives Custom dimensions and tolerances available upon request Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
14,"Request a Quote - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Request a Quote Request a Quote Name* First Last Phone*Email* CompanyMessageProductModelFile Drop files here or Accepted file types: jpg, gift, pdf, doc, xls. Microlap Technologies, Inc. PO Box 280 213 1st St. NW Rolla, ND 58367 United States 701.477.3193 (T) 800.382.2496 (TF) 701.477.6579 (F) email Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
15,"OFC EXHIBITION - Booth 1525 - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Tradeshows OFC EXHIBITION – Booth 1525 OFC EXHIBITION – Booth 1525 Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
16,"Contact - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Contact Contact Name* First Last Company*Address* Street Address Address Line 2 City State / Province ZIP / Postal Code AfghanistanÅland IslandsAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntarcticaAntigua and BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBonaire, Sint Eustatius and SabaBosnia and HerzegovinaBotswanaBouvet IslandBrazilBritish Indian Ocean TerritoryBrunei DarussalamBulgariaBurkina FasoBurundiCambodiaCameroonCanadaCape VerdeCayman IslandsCentral African RepublicChadChileChinaChristmas IslandCocos IslandsColombiaComorosCongo, Democratic Republic of theCongo, Republic of theCook IslandsCosta RicaCôte d'IvoireCroatiaCubaCuraçaoCyprusCzech RepublicDenmarkDjiboutiDominicaDominican RepublicEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatini (Swaziland)EthiopiaFalkland IslandsFaroe IslandsFijiFinlandFranceFrench GuianaFrench PolynesiaFrench Southern TerritoriesGabonGambiaGeorgiaGermanyGhanaGibraltarGreeceGreenlandGrenadaGuadeloupeGuamGuatemalaGuernseyGuineaGuinea-BissauGuyanaHaitiHeard and McDonald IslandsHoly SeeHondurasHong KongHungaryIcelandIndiaIndonesiaIranIraqIrelandIsle of ManIsraelItalyJamaicaJapanJerseyJordanKazakhstanKenyaKiribatiKuwaitKyrgyzstanLao People's Democratic RepublicLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMacauMacedoniaMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMartiniqueMauritaniaMauritiusMayotteMexicoMicronesiaMoldovaMonacoMongoliaMontenegroMontserratMoroccoMozambiqueMyanmarNamibiaNauruNepalNetherlandsNew CaledoniaNew ZealandNicaraguaNigerNigeriaNiueNorfolk IslandNorth KoreaNorthern Mariana IslandsNorwayOmanPakistanPalauPalestine, State ofPanamaPapua New GuineaParaguayPeruPhilippinesPitcairnPolandPortugalPuerto RicoQatarRéunionRomaniaRussiaRwandaSaint BarthélemySaint HelenaSaint Kitts and NevisSaint LuciaSaint MartinSaint Pierre and MiquelonSaint Vincent and the GrenadinesSamoaSan MarinoSao Tome and PrincipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSint MaartenSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth GeorgiaSouth KoreaSouth SudanSpainSri LankaSudanSurinameSvalbard and Jan Mayen IslandsSwedenSwitzerlandSyriaTaiwanTajikistanTanzaniaThailandTimor-LesteTogoTokelauTongaTrinidad and TobagoTunisiaTurkeyTurkmenistanTurks and Caicos IslandsTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited StatesUruguayUS Minor Outlying IslandsUzbekistanVanuatuVenezuelaVietnamVirgin Islands, BritishVirgin Islands, U.S.Wallis and FutunaWestern SaharaYemenZambiaZimbabwe Country Phone*FaxEmail* Comments Microlap Technologies, Inc. PO Box 280 213 1st St. NW Rolla, ND 58367 United States 701.477.3193 (T) 800.382.2496 (TF) 701.477.6579 (F) email Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
17,"Careers - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Careers Careers Download Employment Application Microlap is always accepting applications for production employees. If you are interested in a position with our production staff, please complete our Employment Application and bring to Microlap to discuss the possibility of an interview. Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
18,"Tradeshows Archive - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Tradeshows Upcoming Tradeshows OFC EXHIBITION – Booth 1525March 24-28, 2024San Diego Convention Center - San Diego, CA Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
19,"Privacy Policy - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Privacy Policy Privacy Policy Microlap is aware that the security of your private information from the use of our website is an important concern. We take the protection of your personal data very seriously and demonstrate a strong commitment to online privacy. In acknowledgment of that commitment, we have adopted a comprehensive policy to safeguard the privacy of all visitors to the Microlap website. Collection of Data We store data on our servers for various security reasons. This data may include the name of your Internet service provider, click sources, the websites that you visit from our site and your Internet Protocol (IP) address. This information can be used to help diagnose problems with our server, to administer our website, to help identify you and to gather broad demographic information. The data we collect will only be used for the purpose of supplying you with the requested products or services, company marketing purposes or for other reasons for which you have given your consent, except where otherwise provided by law. Security Microlap uses technical and organizational security precautions to protect your data from manipulation, loss, destruction or access by unauthorized persons. Children We do not collect, process or use on our website, any information relating to an individual whom we know to be under 13 years old, without the prior, verifiable consent of his or her legal representative. We do not give children the ability to post or distribute personal information without prior consent. We do not entice children with games or contests that would encourage them to disclose personal information. Disclaimer This site contains links to other sites. Microlap is not responsible for the content or privacy practices of these sites. Contact Us Please contact us if you have any questions or concerns about our privacy policy. Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
